video_id,model,Bleu_4,ROUGE_L,CIDEr,METEOR,R@4
v_-UwqKYkkKlU,GPT-4.1,0.0,24.3236,2.1142,17.3077,0.0
v_-UwqKYkkKlU,Llama 4,0.0011,28.4751,15.6977,33.9752,0.0
v_-UwqKYkkKlU,SkimCap,0.0011,34.3574,7.5246,35.9608,5.5556
v_7ZbH4vHTmVs,GPT-4.1,6.7051,28.0644,0.0,28.7463,0.0
v_7ZbH4vHTmVs,Llama 4,0.001,23.978,0.057,26.1539,0.0
v_7ZbH4vHTmVs,SkimCap,18.98,39.6963,144.415,38.0887,0.0
v_UXi0Cy16-0Y,GPT-4.1,0.0012,30.3676,18.6776,38.1376,0.0
v_UXi0Cy16-0Y,Llama 4,0.001,25.0019,7.6557,28.261,7.8431
v_UXi0Cy16-0Y,SkimCap,0.0,29.0575,0.2924,21.7391,2.8571
v_VtIMPJjcdn4,GPT-4.1,7.4161,34.2422,0.0007,44.9075,0.0
v_VtIMPJjcdn4,Llama 4,9.6964,36.9869,4.4915,40.3093,0.0
v_VtIMPJjcdn4,SkimCap,30.1656,52.6663,64.7667,60.0298,0.0
v_bXdq2zI1Ms0,GPT-4.1,0.0,12.344,0.0045,18.0921,0.0
v_bXdq2zI1Ms0,Llama 4,0.0,13.1749,1.1471,8.7108,2.9412
v_bXdq2zI1Ms0,SkimCap,0.0,17.712,15.9375,19.0692,7.4074
v_bvnXdr-Hre4,GPT-4.1,0.0009,23.6893,2.341,21.2014,0.0
v_bvnXdr-Hre4,Llama 4,0.0015,19.8605,39.7488,31.7018,0.0
v_bvnXdr-Hre4,SkimCap,15.7739,31.9629,28.5946,35.3048,4.1667
v_eS1r2Qi0qUM,GPT-4.1,0.001,18.2012,28.1997,20.4918,0.0
v_eS1r2Qi0qUM,Llama 4,0.0,17.256,33.7102,22.094,0.0
v_eS1r2Qi0qUM,SkimCap,0.0015,30.2279,11.1958,27.2865,0.0
v_j4Ru2L4u0Qk,GPT-4.1,0.0,27.3815,22.4679,22.8013,0.0
v_j4Ru2L4u0Qk,Llama 4,19.6243,38.9362,100.8148,38.7715,0.0
v_j4Ru2L4u0Qk,SkimCap,0.0,31.7341,41.7536,28.8101,25.0
v_rMZtiiLAqoY,GPT-4.1,0.001,25.8708,15.104,21.2014,0.0
v_rMZtiiLAqoY,Llama 4,0.0,15.9895,0.0917,9.0416,3.4483
v_rMZtiiLAqoY,SkimCap,17.3322,35.9157,10.7621,35.8622,0.0
v_rmoa-Ffel2k,GPT-4.1,0.0,20.8062,8.9448,17.7515,2.0833
v_rmoa-Ffel2k,Llama 4,0.0011,19.4336,14.4487,19.5353,0.0
v_rmoa-Ffel2k,SkimCap,26.2679,44.9474,50.9406,41.3301,0.0
