video_index,video_id,video_key,model,dimension,n,score_human,sd_human
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,accuracy,36,75.6944,24.265
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,completeness,36,52.0833,24.9106
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,conciseness,36,61.8056,28.3386
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,relevance,36,73.6111,22.3163
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,accuracy,36,79.8611,23.0058
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,completeness,36,75.6944,25.6947
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,conciseness,36,86.1111,20.2171
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,relevance,36,85.4167,19.2493
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,accuracy,36,19.4444,26.1255
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,completeness,36,22.2222,27.2408
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,conciseness,36,38.8889,29.5468
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,relevance,36,27.7778,27.2408
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,accuracy,36,81.25,22.6582
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,completeness,36,85.4167,18.2981
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,conciseness,36,75.6944,27.049
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,relevance,36,79.8611,23.7693
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,accuracy,36,13.1944,20.2538
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,completeness,36,25.6944,27.049
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,conciseness,36,23.6111,22.3163
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,relevance,36,19.4444,23.2311
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,accuracy,36,11.8056,15.2199
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,completeness,36,26.3889,27.9952
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,conciseness,36,18.0556,19.4671
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,relevance,36,16.6667,23.1455
3,VtIMPJjcdn4,VtIMPJjcdn4,GPT-4.1,accuracy,36,79.1667,22.7565
