video_index,video_id,video_key,model,accuracy,completeness,conciseness,relevance,mean_accr
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,75.6944,52.0833,61.8056,73.6111,65.7986
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,79.8611,75.6944,86.1111,85.4167,81.7708
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,19.4444,22.2222,38.8889,27.7778,27.0833
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,81.25,85.4167,75.6944,79.8611,80.5555
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,13.1944,25.6944,23.6111,19.4444,20.4861
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,11.8056,26.3889,18.0556,16.6667,18.2292
3,VtIMPJjcdn4,VtIMPJjcdn4,GPT-4.1,79.1667,78.4722,79.8611,76.3889,78.4722
3,VtIMPJjcdn4,VtIMPJjcdn4,Llama 4,76.3889,72.2222,70.1389,75.6944,73.6111
3,VtIMPJjcdn4,VtIMPJjcdn4,SkimCap,18.75,11.8056,31.9444,11.1111,18.4028
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,59.0278,40.9722,54.1667,50.6944,51.2153
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,30.5556,15.9722,28.4722,20.8333,23.9583
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,6.25,6.9444,14.5833,2.7778,7.6389
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,60.4167,55.5556,60.4167,61.1111,59.375
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,34.0278,43.75,54.1667,50.6944,45.6597
5,bvnXdr-Hre4,bvnXdr-Hre4,SkimCap,23.6111,13.8889,27.0833,15.9722,20.1389
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,GPT-4.1,78.4722,74.3056,72.9167,74.3056,75.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,65.2778,54.1667,56.25,61.8056,59.375
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,21.5278,20.8333,22.2222,21.5278,21.5278
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,81.25,79.1667,66.6667,70.8333,74.4792
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,50.0,47.2222,43.0556,47.2222,46.875
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,15.2778,14.5833,25.0,22.2222,19.2708
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,84.0278,75.6944,77.7778,73.6111,77.7778
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,14.5833,21.5278,28.4722,17.3611,20.4861
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,15.9722,19.4444,25.6944,15.9722,19.2708
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,89.5833,84.7222,85.4167,87.5,86.8055
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,83.3333,75.0,77.7778,81.25,79.3403
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,8.3333,11.8056,18.0556,11.1111,12.3264
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,84.0278,83.3333,81.9444,79.1667,82.118
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,81.25,81.25,81.9444,84.0278,82.118
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,34.7222,28.4722,34.7222,31.25,32.2917
