dimension,metric,metric_direction,n,tau_b,p_b,tau_c,p_c,expected_n,direction_note
accuracy,Bleu_4,higher_better,30,-0.22980131797770686,0.08947598953546329,-0.22142857142857142,0.08947598953546329,30,positive_tau_indicates_same_direction
accuracy,ROUGE_L,higher_better,30,-0.21940187854272802,0.08985593180342558,-0.21923076923076923,0.08985593180342558,30,positive_tau_indicates_same_direction
accuracy,CIDEr,higher_better,30,-0.23787782620948408,0.0659162846568572,-0.2376923076923077,0.0659162846568572,30,positive_tau_indicates_same_direction
accuracy,METEOR,higher_better,30,-0.14335346331989016,0.2682328703579967,-0.14307692307692307,0.2682328703579967,30,positive_tau_indicates_same_direction
accuracy,R@4,lower_better,30,-0.2247854237342411,0.1214096533704119,-0.1728395061728395,0.1214096533704119,30,negative_tau_can_indicate_agreement
completeness,Bleu_4,higher_better,30,-0.23420052204587183,0.08291871958827708,-0.2261904761904762,0.08291871958827708,30,positive_tau_indicates_same_direction
completeness,ROUGE_L,higher_better,30,-0.21889459028350788,0.08999242056665839,-0.21893004115226336,0.08999242056665839,30,positive_tau_indicates_same_direction
completeness,CIDEr,higher_better,30,-0.2834108905775944,0.02815315186965056,-0.28345679012345676,0.02815315186965056,30,positive_tau_indicates_same_direction
completeness,METEOR,higher_better,30,-0.12456755690691117,0.3351084566250647,-0.12444444444444444,0.3351084566250647,30,positive_tau_indicates_same_direction
completeness,R@4,lower_better,30,-0.2915453943415424,0.04413372962275597,-0.22469135802469137,0.04413372962275597,30,negative_tau_can_indicate_agreement
conciseness,Bleu_4,higher_better,30,-0.1805913040382821,0.18252477862633698,-0.1738095238095238,0.18252477862633698,30,positive_tau_indicates_same_direction
conciseness,ROUGE_L,higher_better,30,-0.22659338092274572,0.08015041105069752,-0.22685185185185186,0.08015041105069752,30,positive_tau_indicates_same_direction
conciseness,CIDEr,higher_better,30,-0.18497418850836386,0.15317111918415735,-0.18518518518518517,0.15317111918415735,30,positive_tau_indicates_same_direction
conciseness,METEOR,higher_better,30,-0.12268649999097006,0.3439052766607551,-0.12268518518518519,0.3439052766607551,30,positive_tau_indicates_same_direction
conciseness,R@4,lower_better,30,-0.34721483196269676,0.0168599919462105,-0.26666666666666666,0.0168599919462105,30,negative_tau_can_indicate_agreement
relevance,Bleu_4,higher_better,30,-0.2470981913738783,0.06788177563451821,-0.23809523809523808,0.06788177563451821,30,positive_tau_indicates_same_direction
relevance,ROUGE_L,higher_better,30,-0.2563537738762401,0.04752219588352765,-0.25653333333333334,0.04752219588352765,30,positive_tau_indicates_same_direction
relevance,CIDEr,higher_better,30,-0.19630694395928297,0.12915210875913877,-0.19644444444444445,0.12915210875913877,30,positive_tau_indicates_same_direction
relevance,METEOR,higher_better,30,-0.1479777685882737,0.25314904456541043,-0.1479111111111111,0.25314904456541043,30,positive_tau_indicates_same_direction
relevance,R@4,lower_better,30,-0.27616494915921047,0.05707896973647272,-0.2123456790123457,0.05707896973647272,30,negative_tau_can_indicate_agreement
