video_index,video_id,video_key,model,dimension,n,score_human,sd_human,auto_video_id,Bleu_4,ROUGE_L,CIDEr,METEOR,R@4
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,accuracy,36,75.6944,24.265,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,completeness,36,52.0833,24.9106,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,conciseness,36,61.8056,28.3386,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,relevance,36,73.6111,22.3163,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,accuracy,36,79.8611,23.0058,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,completeness,36,75.6944,25.6947,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,conciseness,36,86.1111,20.2171,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,relevance,36,85.4167,19.2493,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,accuracy,36,19.4444,26.1255,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,completeness,36,22.2222,27.2408,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,conciseness,36,38.8889,29.5468,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,relevance,36,27.7778,27.2408,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,accuracy,36,81.25,22.6582,v_UXi0Cy16-0Y,0.0012,30.3676,18.6776,38.1376,0.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,completeness,36,85.4167,18.2981,v_UXi0Cy16-0Y,0.0012,30.3676,18.6776,38.1376,0.0
