video_key,model,dimension,score_llm,auto_video_id,Bleu_4,ROUGE_L,CIDEr,METEOR,R@4
eS1r2Qi0qUM,GPT-4.1,accuracy,90.0,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
eS1r2Qi0qUM,GPT-4.1,completeness,70.0,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
eS1r2Qi0qUM,GPT-4.1,conciseness,98.0,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
eS1r2Qi0qUM,GPT-4.1,relevance,100.0,v_eS1r2Qi0qUM,0.001,18.2012,28.1997,20.4918,0.0
eS1r2Qi0qUM,Llama 4,accuracy,90.0,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
eS1r2Qi0qUM,Llama 4,completeness,75.0,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
eS1r2Qi0qUM,Llama 4,conciseness,95.0,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
eS1r2Qi0qUM,Llama 4,relevance,90.0,v_eS1r2Qi0qUM,0.0,17.256,33.7102,22.094,0.0
eS1r2Qi0qUM,SkimCap,accuracy,30.0,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
eS1r2Qi0qUM,SkimCap,completeness,25.0,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
eS1r2Qi0qUM,SkimCap,conciseness,70.0,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
eS1r2Qi0qUM,SkimCap,relevance,35.0,v_eS1r2Qi0qUM,0.0015,30.2279,11.1958,27.2865,0.0
UXi0Cy16-0Y,GPT-4.1,accuracy,80.0,v_UXi0Cy16-0Y,0.0012,30.3676,18.6776,38.1376,0.0
UXi0Cy16-0Y,GPT-4.1,completeness,70.0,v_UXi0Cy16-0Y,0.0012,30.3676,18.6776,38.1376,0.0
UXi0Cy16-0Y,GPT-4.1,conciseness,90.0,v_UXi0Cy16-0Y,0.0012,30.3676,18.6776,38.1376,0.0
UXi0Cy16-0Y,GPT-4.1,relevance,95.0,v_UXi0Cy16-0Y,0.0012,30.3676,18.6776,38.1376,0.0
UXi0Cy16-0Y,Llama 4,accuracy,30.0,v_UXi0Cy16-0Y,0.001,25.0019,7.6557,28.261,7.8431
UXi0Cy16-0Y,Llama 4,completeness,25.0,v_UXi0Cy16-0Y,0.001,25.0019,7.6557,28.261,7.8431
UXi0Cy16-0Y,Llama 4,conciseness,40.0,v_UXi0Cy16-0Y,0.001,25.0019,7.6557,28.261,7.8431
UXi0Cy16-0Y,Llama 4,relevance,30.0,v_UXi0Cy16-0Y,0.001,25.0019,7.6557,28.261,7.8431
UXi0Cy16-0Y,SkimCap,accuracy,15.0,v_UXi0Cy16-0Y,0.0,29.0575,0.2924,21.7391,2.8571
UXi0Cy16-0Y,SkimCap,completeness,10.0,v_UXi0Cy16-0Y,0.0,29.0575,0.2924,21.7391,2.8571
UXi0Cy16-0Y,SkimCap,conciseness,30.0,v_UXi0Cy16-0Y,0.0,29.0575,0.2924,21.7391,2.8571
UXi0Cy16-0Y,SkimCap,relevance,20.0,v_UXi0Cy16-0Y,0.0,29.0575,0.2924,21.7391,2.8571
VtIMPJjcdn4,GPT-4.1,accuracy,75.0,v_VtIMPJjcdn4,7.4161,34.2422,0.0007,44.9075,0.0
VtIMPJjcdn4,GPT-4.1,completeness,70.0,v_VtIMPJjcdn4,7.4161,34.2422,0.0007,44.9075,0.0
VtIMPJjcdn4,GPT-4.1,conciseness,65.0,v_VtIMPJjcdn4,7.4161,34.2422,0.0007,44.9075,0.0
VtIMPJjcdn4,GPT-4.1,relevance,70.0,v_VtIMPJjcdn4,7.4161,34.2422,0.0007,44.9075,0.0
VtIMPJjcdn4,Llama 4,accuracy,85.0,v_VtIMPJjcdn4,9.6964,36.9869,4.4915,40.3093,0.0
VtIMPJjcdn4,Llama 4,completeness,75.0,v_VtIMPJjcdn4,9.6964,36.9869,4.4915,40.3093,0.0
VtIMPJjcdn4,Llama 4,conciseness,80.0,v_VtIMPJjcdn4,9.6964,36.9869,4.4915,40.3093,0.0
VtIMPJjcdn4,Llama 4,relevance,90.0,v_VtIMPJjcdn4,9.6964,36.9869,4.4915,40.3093,0.0
VtIMPJjcdn4,SkimCap,accuracy,10.0,v_VtIMPJjcdn4,30.1656,52.6663,64.7667,60.0298,0.0
VtIMPJjcdn4,SkimCap,completeness,10.0,v_VtIMPJjcdn4,30.1656,52.6663,64.7667,60.0298,0.0
VtIMPJjcdn4,SkimCap,conciseness,20.0,v_VtIMPJjcdn4,30.1656,52.6663,64.7667,60.0298,0.0
VtIMPJjcdn4,SkimCap,relevance,10.0,v_VtIMPJjcdn4,30.1656,52.6663,64.7667,60.0298,0.0
rMZtiiLAqoY,GPT-4.1,accuracy,60.0,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
rMZtiiLAqoY,GPT-4.1,completeness,50.0,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
rMZtiiLAqoY,GPT-4.1,conciseness,85.0,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
rMZtiiLAqoY,GPT-4.1,relevance,60.0,v_rMZtiiLAqoY,0.001,25.8708,15.104,21.2014,0.0
rMZtiiLAqoY,Llama 4,accuracy,10.0,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
rMZtiiLAqoY,Llama 4,completeness,5.0,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
